The SAS System,,,,,,,,,,,
,,,,,,,,,,,
IPO_Firm_Name,IPODate,PERMNO,Names Date,Returns,Value-Weighted,Return on the S&P,,,,,
,,,,,Return-incl. dividends,500 Index,Holding Returns,Month,1+  Daily Return,1+Vwretd,1+SPrtrn
Inspire Medical Systems Inc,5/3/2018,17799,1/15/2019,0.024071,0.009839,0.010722,,,1.024071,1.009839,1.010722
Inspire Medical Systems Inc,5/3/2018,17799,1/16/2019,0.031408,0.003177,0.002222,,,1.031408,1.003177,1.002222
Inspire Medical Systems Inc,5/3/2018,17799,1/17/2019,0.053045,0.007082,0.007591,,,1.053045,1.007082,1.007591
Inspire Medical Systems Inc,5/3/2018,17799,1/18/2019,0.033582,0.012032,0.013183,,,1.033582,1.012032,1.013183
Inspire Medical Systems Inc,5/3/2018,17799,1/22/2019,-0.02148,-0.01415,-0.014157,,,0.97852,0.98585,0.985843
Inspire Medical Systems Inc,5/3/2018,17799,1/23/2019,-0.033573,0.001313,0.002203,,,0.966427,1.001313,1.002203
Inspire Medical Systems Inc,5/3/2018,17799,1/24/2019,0.012598,0.002789,0.001376,,,1.012598,1.002789,1.001376
Inspire Medical Systems Inc,5/3/2018,17799,1/25/2019,-0.00377,0.009553,0.008489,,,0.99623,1.009553,1.008489
Inspire Medical Systems Inc,5/3/2018,17799,1/28/2019,0.0193,-0.006493,-0.007847,,,1.0193,0.993507,0.992153
Inspire Medical Systems Inc,5/3/2018,17799,1/29/2019,-0.029516,-0.000918,-0.001456,,,0.970484,0.999082,0.998544
Inspire Medical Systems Inc,5/3/2018,17799,1/30/2019,-0.013963,0.014357,0.015549,,,0.986037,1.014357,1.015549
Inspire Medical Systems Inc,5/3/2018,17799,1/31/2019,0.040349,0.008467,0.008597,,,1.040349,1.008467,1.008597
Inspire Medical Systems Inc,5/3/2018,17799,2/1/2019,-0.010069,0.001418,0.000899,,,0.989931,1.001418,1.000899
Inspire Medical Systems Inc,5/3/2018,17799,2/4/2019,-0.014127,0.006692,0.006776,0.267312025,9,0.985873,1.006692,1.006776
Inspire Medical Systems Inc,5/3/2018,17799,2/5/2019,0.044135,0.004392,0.004708,,,1.044135,1.004392,1.004708
Inspire Medical Systems Inc,5/3/2018,17799,2/6/2019,-0.023239,-0.002529,-0.002224,,,0.976761,0.997471,0.997776
Inspire Medical Systems Inc,5/3/2018,17799,2/7/2019,0.029037,-0.008815,-0.009357,,,1.029037,0.991185,0.990643
Inspire Medical Systems Inc,5/3/2018,17799,2/8/2019,0.046241,0.000651,0.000676,,,1.046241,1.000651,1.000676
Inspire Medical Systems Inc,5/3/2018,17799,2/11/2019,-0.000348,0.001262,0.000709,,,0.999652,1.001262,1.000709
Inspire Medical Systems Inc,5/3/2018,17799,2/12/2019,0.008355,0.012367,0.01289,,,1.008355,1.012367,1.01289
Inspire Medical Systems Inc,5/3/2018,17799,2/13/2019,-0.013292,0.002782,0.003024,,,0.986708,1.002782,1.003024
Inspire Medical Systems Inc,5/3/2018,17799,2/14/2019,-0.009272,-0.001423,-0.002652,,,0.990728,0.998577,0.997348
Inspire Medical Systems Inc,5/3/2018,17799,2/15/2019,0.015186,0.010835,0.010879,,,1.015186,1.010835,1.010879
